facility_key	prefecture	facility	manufacturers	manufacturer_count	products	sources
千葉県|志高会たてやま整形外科クリニック	千葉県	医療法人社団志高会 たてやま整形外科クリニック	Arthrex	1	ACP	MANUAL_VERIFIED
千葉県|慈宏会まさき整形外科	千葉県	医療法人社団慈宏会 まさき整形外科	Zimmer Biomet	1	APS	MANUFACTURER_LOCATOR|MHLW_FULL
千葉県|明敬会重城病院	千葉県	医療法人社団明敬会 重城病院	Zimmer Biomet	1	APS	MANUFACTURER_LOCATOR
千葉県|曙会流山中央病院	千葉県	医療法人社団曙会 流山中央病院	Arthrex	1	ACP	MANUAL_VERIFIED
千葉県|淳英会jメディカルおゆみの	千葉県	医療法人社団淳英会 Jメディカルおゆみの	ESTAR Technologies|Zimmer Biomet	2	APS|GPS|MyCells	MANUAL_VERIFIED|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
千葉県|淳英会おゆみの中央病院	千葉県	医療法人社団淳英会 おゆみの中央病院	ESTAR Technologies|Zimmer Biomet	2	APS|GPS|MyCells	MANUAL_VERIFIED|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
千葉県|錦昌会みどりのは葉記念病院	千葉県	医療法人社団錦昌会 みどりのは 葉記念病院	Arthrex	1	ACP	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
千葉県|鉄蕉会亀田クリニック	千葉県	医療法人鉄蕉会 亀田クリニック	Zimmer Biomet	1	APS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
千葉県|鉄蕉会亀田総合病院	千葉県	医療法人鉄蕉会 亀田総合病院	Zimmer Biomet	1	APS	MANUAL_VERIFIED
千葉県|千葉ニュータウン整形外科リハビリテーションクリニック	千葉県	千葉ニュータウン整形外科リハビリテーションクリニック	Arthrex	1	ACP|ACP-PRP	MANUAL_VERIFIED|MANUFACTURER_LOCATOR
千葉県|日本医科大学千葉北総病院	千葉県	日本医科大学千葉北総病院	Zimmer Biomet	1	APS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
千葉県|柏の葉キャンパス整形外科	千葉県	柏の葉キャンパス整形外科	Arthrex	1	ACP-PRP	MANUFACTURER_LOCATOR
千葉県|社団蛍水会名戸ヶ谷病院	千葉県	社会医療法人社団蛍水会 名戸ヶ谷病院	Arthrex|Zimmer Biomet	2	ACP|APS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
千葉県|長浜クリニック	千葉県	長浜クリニック	Arthrex|京セラ	2	ACP|Condensia	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
千葉県|順天堂大学医学部附属浦安病院	千葉県	順天堂大学医学部附属浦安病院	Arthrex	1	ACP-PRP	MANUFACTURER_LOCATOR
和歌山県|伏虎リハビリテーション病院	和歌山県	伏虎リハビリテーション病院	Zimmer Biomet	1	APS|APS|GPS|GPS	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT|PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
和歌山県|たちばな会西岡病院	和歌山県	医療法人たちばな会 西岡病院	京セラ	1	Condensia	MHLW_FULL
和歌山県|優真会やなせ整形外科	和歌山県	医療法人優真会 やなせ整形外科	京セラ	1	Condensia	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
和歌山県|琉憲会ナカイマ整形外科クリニック	和歌山県	医療法人琉憲会 ナカイマ整形外科クリニック	Arthrex	1	ACP	MANUAL_VERIFIED
和歌山県|須佐病院	和歌山県	医療法人須佐病院	Arthrex	1	APS|Angel	MHLW_FULL
和歌山県|海南医療センター	和歌山県	海南医療センター	Zimmer Biomet	1	GPS|GPS|Zimmer	PRICE_STAGE_V40|PRICE_STAGE_V40_PRODUCT
和歌山県|黎明会北出病院	和歌山県	社会医療法人黎明会 北出病院	Zimmer Biomet	1	APS|GPS	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
和歌山県|黎明会和歌山健診クリニックキタデ	和歌山県	社会医療法人黎明会 和歌山 健診クリニック・キタデ	Arthrex	1	ACP|ACP MAX	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
和歌山県|琴の浦リハビリテイションセンター琴の浦リハビリテーションセンター附属病院	和歌山県	社会福祉法人琴の浦リハビリテイションセンター    琴の浦リハビリテーションセンター附属病院	DSM Biomedical|Zimmer Biomet	2	APS|PEAK	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
埼玉県|ut整形外科武蔵浦和	埼玉県	UT整形外科 武蔵浦和	Zimmer Biomet|京セラ	2	APS|Condensia	PRICE_STAGE_V41|PRICE_STAGE_V41_PRODUCT
